"","ENSEMBL","annotation","count"
"547","ENSG00000014641","Distal Intergenic",4
"548","ENSG00000014641","Intron",3
"549","ENSG00000014824","Intron",1
"550","ENSG00000014824","Promoter (1-2kb)",1
"551","ENSG00000015133","Distal Intergenic",2
"552","ENSG00000015133","Intron",3
"553","ENSG00000015153","Intron",1
"554","ENSG00000015171","Exon",1
"555","ENSG00000015171","Intron",4
"556","ENSG00000015285","Distal Intergenic",4
"557","ENSG00000015285","Promoter (1-2kb)",1
"558","ENSG00000015413","Distal Intergenic",1
"559","ENSG00000015413","Intron",3
"560","ENSG00000015413","Promoter (<=1kb)",1
"561","ENSG00000015479","Intron",2
"562","ENSG00000015520","Distal Intergenic",2
"563","ENSG00000015520","Exon",1
"564","ENSG00000015520","Intron",1
"565","ENSG00000015520","Promoter (<=1kb)",1
"566","ENSG00000015520","Promoter (1-2kb)",1
"567","ENSG00000015568","5' UTR",2
"568","ENSG00000015568","Exon",1
"569","ENSG00000015568","Intron",2
"570","ENSG00000015592","Distal Intergenic",1
"571","ENSG00000015676","Distal Intergenic",1
"572","ENSG00000015676","Intron",4
"573","ENSG00000016082","Distal Intergenic",1
"574","ENSG00000016082","Downstream (<1kb)",1
"575","ENSG00000016082","Downstream (1-2kb)",1
"576","ENSG00000016402","Intron",1
"577","ENSG00000016490","Intron",1
"578","ENSG00000016602","Intron",1
"579","ENSG00000016864","3' UTR",1
"580","ENSG00000017427","Distal Intergenic",7
"581","ENSG00000017427","Exon",2
"582","ENSG00000017427","Intron",2
"583","ENSG00000017797","Promoter (<=1kb)",2
"584","ENSG00000018189","Intron",2
"585","ENSG00000018236","Distal Intergenic",1
"586","ENSG00000018236","Intron",4
"587","ENSG00000018280","Promoter (<=1kb)",1
"588","ENSG00000018280","Promoter (1-2kb)",2
"589","ENSG00000018408","Intron",8
"590","ENSG00000018510","Intron",2
"591","ENSG00000018610","Distal Intergenic",1
"592","ENSG00000018625","Distal Intergenic",1
"593","ENSG00000018625","Promoter (<=1kb)",2
"594","ENSG00000018625","Promoter (1-2kb)",1
"595","ENSG00000018625","Promoter (2-3kb)",1
"596","ENSG00000018699","Intron",2
"597","ENSG00000019102","Promoter (<=1kb)",1
"598","ENSG00000019144","Intron",2
"599","ENSG00000019169","Distal Intergenic",4
"600","ENSG00000019169","Intron",2
"601","ENSG00000019169","Promoter (2-3kb)",1
"602","ENSG00000019485","Distal Intergenic",3
"603","ENSG00000019485","Intron",5
"604","ENSG00000019505","3' UTR",2
"605","ENSG00000019505","Distal Intergenic",6
"606","ENSG00000019505","Intron",6
"607","ENSG00000019582","Distal Intergenic",2
"608","ENSG00000019582","Exon",1
"609","ENSG00000019582","Promoter (<=1kb)",1
"610","ENSG00000019991","Distal Intergenic",9
"611","ENSG00000019991","Intron",1
"612","ENSG00000019995","Distal Intergenic",2
"613","ENSG00000020256","Distal Intergenic",35
"614","ENSG00000020256","Intron",7
"615","ENSG00000020256","Promoter (<=1kb)",1
"616","ENSG00000020256","Promoter (2-3kb)",1
"617","ENSG00000020426","Intron",7
