"","ENSEMBL","annotation","count"
"425","ENSG00000008130","Promoter (<=1kb)",1
"426","ENSG00000008130","Promoter (2-3kb)",2
"427","ENSG00000008196","Distal Intergenic",13
"428","ENSG00000008196","Exon",2
"429","ENSG00000008196","Promoter (<=1kb)",1
"430","ENSG00000008196","Promoter (1-2kb)",1
"431","ENSG00000008196","Promoter (2-3kb)",1
"432","ENSG00000008197","Distal Intergenic",4
"433","ENSG00000008226","Promoter (<=1kb)",3
"434","ENSG00000008256","3' UTR",1
"435","ENSG00000008256","Intron",8
"436","ENSG00000008256","Promoter (<=1kb)",1
"437","ENSG00000008256","Promoter (1-2kb)",1
"438","ENSG00000008277","Distal Intergenic",2
"439","ENSG00000008277","Intron",5
"440","ENSG00000008277","Promoter (<=1kb)",1
"441","ENSG00000008282","Distal Intergenic",9
"442","ENSG00000008282","Downstream (<1kb)",1
"443","ENSG00000008282","Promoter (<=1kb)",1
"444","ENSG00000008282","Promoter (1-2kb)",1
"445","ENSG00000008283","3' UTR",1
"446","ENSG00000008283","Distal Intergenic",1
"447","ENSG00000008283","Promoter (<=1kb)",1
"448","ENSG00000008283","Promoter (1-2kb)",2
"449","ENSG00000008294","Intron",2
"450","ENSG00000008294","Promoter (<=1kb)",1
"451","ENSG00000008294","Promoter (2-3kb)",1
"452","ENSG00000008300","Exon",1
"453","ENSG00000008300","Promoter (<=1kb)",2
"454","ENSG00000008311","Distal Intergenic",1
"455","ENSG00000008311","Exon",3
"456","ENSG00000008311","Intron",1
"457","ENSG00000008311","Promoter (<=1kb)",1
"458","ENSG00000008323","Distal Intergenic",5
"459","ENSG00000008323","Promoter (<=1kb)",1
"460","ENSG00000008324","Promoter (<=1kb)",1
"461","ENSG00000008382","Intron",2
"462","ENSG00000008394","3' UTR",1
"463","ENSG00000008394","Distal Intergenic",1
"464","ENSG00000008394","Promoter (<=1kb)",1
"465","ENSG00000008405","Distal Intergenic",3
"466","ENSG00000008405","Intron",1
"467","ENSG00000008405","Promoter (<=1kb)",1
"468","ENSG00000008441","Distal Intergenic",1
"469","ENSG00000008441","Intron",2
"470","ENSG00000008513","5' UTR",1
"471","ENSG00000008513","Distal Intergenic",33
"472","ENSG00000008513","Downstream (<1kb)",1
"473","ENSG00000008513","Intron",11
"474","ENSG00000008513","Promoter (<=1kb)",1
"475","ENSG00000008513","Promoter (2-3kb)",1
"476","ENSG00000008516","Promoter (<=1kb)",1
"477","ENSG00000008517","3' UTR",1
"478","ENSG00000008517","Distal Intergenic",2
"479","ENSG00000008838","Promoter (<=1kb)",1
"480","ENSG00000008853","Distal Intergenic",3
"481","ENSG00000008853","Promoter (<=1kb)",1
"482","ENSG00000008853","Promoter (1-2kb)",1
"483","ENSG00000008869","Exon",1
"484","ENSG00000008869","Promoter (<=1kb)",2
"485","ENSG00000008869","Promoter (2-3kb)",1
"486","ENSG00000008952","Distal Intergenic",1
"487","ENSG00000008952","Promoter (2-3kb)",1
"488","ENSG00000008988","Distal Intergenic",2
"489","ENSG00000009307","Intron",1
"490","ENSG00000009307","Promoter (<=1kb)",1
"491","ENSG00000009307","Promoter (1-2kb)",1
"492","ENSG00000009335","Distal Intergenic",1
"493","ENSG00000009335","Intron",1
"494","ENSG00000009335","Promoter (<=1kb)",1
"495","ENSG00000009335","Promoter (1-2kb)",2
"496","ENSG00000009413","Distal Intergenic",1
"497","ENSG00000009413","Exon",1
"498","ENSG00000009413","Intron",10
"499","ENSG00000009413","Promoter (<=1kb)",2
"500","ENSG00000009694","Distal Intergenic",2
"501","ENSG00000009694","Intron",2
"502","ENSG00000009709","Distal Intergenic",1
"503","ENSG00000009724","Exon",1
"504","ENSG00000009765","3' UTR",1
"505","ENSG00000009765","Distal Intergenic",6
"506","ENSG00000009780","Promoter (<=1kb)",1
"507","ENSG00000009790","Distal Intergenic",4
"508","ENSG00000009790","Intron",1
"509","ENSG00000009790","Promoter (<=1kb)",1
"510","ENSG00000009830","Intron",1
"511","ENSG00000009830","Promoter (<=1kb)",2
"512","ENSG00000009830","Promoter (1-2kb)",1
"513","ENSG00000009844","Intron",2
"514","ENSG00000009844","Promoter (<=1kb)",2
"515","ENSG00000009954","Distal Intergenic",1
"516","ENSG00000009954","Promoter (<=1kb)",1
"517","ENSG00000010017","Distal Intergenic",1
"518","ENSG00000010017","Intron",2
"519","ENSG00000010017","Promoter (<=1kb)",1
"520","ENSG00000010030","Intron",1
"521","ENSG00000010072","Distal Intergenic",1
"522","ENSG00000010072","Intron",2
"523","ENSG00000010072","Promoter (1-2kb)",1
"524","ENSG00000010165","Distal Intergenic",2
"525","ENSG00000010165","Intron",1
"526","ENSG00000010165","Promoter (<=1kb)",1
"527","ENSG00000010219","Intron",1
